34.0.0.0	255.255.0.0
5.42.94.235	255.255.255.255
104.16.0.0	255.255.0.0
162.159.0.0	255.255.0.0
104.18.116.26	255.255.255.255
104.18.117.26	255.255.255.255
104.18.18.210	255.255.255.255
104.18.19.210	255.255.255.255
104.18.8.201	255.255.255.255
104.18.9.201	255.255.255.255
104.21.2.204	255.255.255.255
104.21.25.51	255.255.255.255
104.21.40.151	255.255.255.255
104.21.59.128	255.255.255.255
104.21.72.221	255.255.255.255
104.21.80.173	255.255.255.255
104.21.82.160	255.255.255.255
104.21.83.61	255.255.255.255
104.21.89.187	255.255.255.255
162.159.128.233	255.255.255.255
162.159.128.234	255.255.255.255
162.159.128.235	255.255.255.255
162.159.128.7	255.255.255.255
162.159.129.233	255.255.255.255
162.159.129.234	255.255.255.255
162.159.129.235	255.255.255.255
162.159.130.233	255.255.255.255
162.159.130.234	255.255.255.255
162.159.130.235	255.255.255.255
162.159.133.233	255.255.255.255
162.159.133.234	255.255.255.255
162.159.134.233	255.255.255.255
162.159.134.234	255.255.255.255
162.159.135.232	255.255.255.255
162.159.135.233	255.255.255.255
162.159.135.234	255.255.255.255
162.159.136.232	255.255.255.255
162.159.136.233	255.255.255.255
162.159.136.234	255.255.255.255
162.159.137.232	255.255.255.255
162.159.137.233	255.255.255.255
162.159.137.234	255.255.255.255
162.159.138.232	255.255.255.255
162.159.138.233	255.255.255.255
162.159.138.234	255.255.255.255
162.159.138.6	255.255.255.255
172.65.202.19	255.255.255.255
172.66.41.34	255.255.255.255
172.66.42.222	255.255.255.255
172.67.152.113	255.255.255.255
172.67.152.229	255.255.255.255
172.67.152.236	255.255.255.255
172.67.155.163	255.255.255.255
172.67.159.89	255.255.255.255
172.67.177.131	255.255.255.255
172.67.191.5	255.255.255.255
172.67.214.245	255.255.255.255
172.67.222.182	255.255.255.255
18.234.32.149	255.255.255.255
23.227.38.74	255.255.255.255
35.212.102.50	255.255.255.255
35.212.111.22	255.255.255.255
35.212.111.40	255.255.255.255
35.212.12.148	255.255.255.255
35.212.120.122	255.255.255.255
35.212.4.134	255.255.255.255
35.212.88.11	255.255.255.255
66.22.231.10	255.255.255.255
66.22.231.11	255.255.255.255
66.22.231.12	255.255.255.255
66.22.231.132	255.255.255.255
66.22.231.133	255.255.255.255
66.22.231.135	255.255.255.255
66.22.231.136	255.255.255.255
66.22.231.137	255.255.255.255
66.22.231.138	255.255.255.255
66.22.231.139	255.255.255.255
66.22.231.14	255.255.255.255
66.22.231.140	255.255.255.255
66.22.231.141	255.255.255.255
66.22.231.142	255.255.255.255
66.22.231.143	255.255.255.255
66.22.231.144	255.255.255.255
66.22.231.145	255.255.255.255
66.22.231.146	255.255.255.255
66.22.231.147	255.255.255.255
66.22.231.148	255.255.255.255
66.22.231.149	255.255.255.255
66.22.231.15	255.255.255.255
66.22.231.150	255.255.255.255
66.22.231.151	255.255.255.255
66.22.231.152	255.255.255.255
66.22.231.153	255.255.255.255
66.22.231.154	255.255.255.255
66.22.231.155	255.255.255.255
66.22.231.156	255.255.255.255
66.22.231.157	255.255.255.255
66.22.231.158	255.255.255.255
66.22.231.159	255.255.255.255
66.22.231.16	255.255.255.255
66.22.231.160	255.255.255.255
66.22.231.161	255.255.255.255
66.22.231.163	255.255.255.255
66.22.231.164	255.255.255.255
66.22.231.166	255.255.255.255
66.22.231.167	255.255.255.255
66.22.231.168	255.255.255.255
66.22.231.169	255.255.255.255
66.22.231.17	255.255.255.255
66.22.231.170	255.255.255.255
66.22.231.171	255.255.255.255
66.22.231.176	255.255.255.255
66.22.231.177	255.255.255.255
66.22.231.178	255.255.255.255
66.22.231.179	255.255.255.255
66.22.231.18	255.255.255.255
66.22.231.180	255.255.255.255
66.22.231.181	255.255.255.255
66.22.231.182	255.255.255.255
66.22.231.183	255.255.255.255
66.22.231.184	255.255.255.255
66.22.231.185	255.255.255.255
66.22.231.186	255.255.255.255
66.22.231.187	255.255.255.255
66.22.231.188	255.255.255.255
66.22.231.189	255.255.255.255
66.22.231.19	255.255.255.255
66.22.231.190	255.255.255.255
66.22.231.191	255.255.255.255
66.22.231.192	255.255.255.255
66.22.231.193	255.255.255.255
66.22.231.194	255.255.255.255
66.22.231.195	255.255.255.255
66.22.231.196	255.255.255.255
66.22.231.197	255.255.255.255
66.22.231.198	255.255.255.255
66.22.231.199	255.255.255.255
66.22.231.20	255.255.255.255
66.22.231.204	255.255.255.255
66.22.231.21	255.255.255.255
66.22.231.212	255.255.255.255
66.22.231.213	255.255.255.255
66.22.231.214	255.255.255.255
66.22.231.215	255.255.255.255
66.22.231.216	255.255.255.255
66.22.231.217	255.255.255.255
66.22.231.22	255.255.255.255
66.22.231.23	255.255.255.255
66.22.231.24	255.255.255.255
66.22.231.25	255.255.255.255
66.22.231.27	255.255.255.255
66.22.231.29	255.255.255.255
66.22.231.30	255.255.255.255
66.22.231.31	255.255.255.255
66.22.231.32	255.255.255.255
66.22.231.33	255.255.255.255
66.22.231.34	255.255.255.255
66.22.231.35	255.255.255.255
66.22.231.37	255.255.255.255
66.22.231.38	255.255.255.255
66.22.231.4	255.255.255.255
66.22.231.42	255.255.255.255
66.22.231.43	255.255.255.255
66.22.231.44	255.255.255.255
66.22.231.45	255.255.255.255
66.22.231.46	255.255.255.255
66.22.231.47	255.255.255.255
66.22.231.48	255.255.255.255
66.22.231.5	255.255.255.255
66.22.231.50	255.255.255.255
66.22.231.52	255.255.255.255
66.22.231.53	255.255.255.255
66.22.231.54	255.255.255.255
66.22.231.55	255.255.255.255
66.22.231.56	255.255.255.255
66.22.231.57	255.255.255.255
66.22.231.58	255.255.255.255
66.22.231.59	255.255.255.255
66.22.231.6	255.255.255.255
66.22.231.60	255.255.255.255
66.22.231.61	255.255.255.255
66.22.231.62	255.255.255.255
66.22.231.63	255.255.255.255
66.22.231.64	255.255.255.255
66.22.231.65	255.255.255.255
66.22.231.66	255.255.255.255
66.22.231.67	255.255.255.255
66.22.231.69	255.255.255.255
66.22.231.7	255.255.255.255
66.22.231.70	255.255.255.255
66.22.231.71	255.255.255.255
